trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
585,False,"{'a': 0.002, 'e': 0.3109882962959281}",25,5,-22.359791738117117,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
586,False,"{'a': 0.002, 'e': 0.31036694126548503}",35,19,-12.398706912646189,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
587,False,"{'a': 0.002, 'e': 0.3097468277032208}",25,0,-71.0287360043936,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
588,False,"{'a': 0.002, 'e': 0.30912795312868047}",20,14,9.513053275550533,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.002, 'e': 0.3085103150663647}",30,1,25.226843734420108,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.002, 'e': 0.3078939110457206}",20,0,-54.02772323722492,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
591,False,"{'a': 0.002, 'e': 0.30727873860113125}",25,19,2.720833756592587,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
592,False,"{'a': 0.002, 'e': 0.306664795271906}",30,13,7.199756073157531,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
593,False,"{'a': 0.002, 'e': 0.3060520786022707}",20,0,-19.517832808681057,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
594,False,"{'a': 0.002, 'e': 0.3054405861413579}",25,15,3.8188749316438955,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.002, 'e': 0.30483031544319683}",35,0,-113.83770950255715,"{0: 28, 1: 3, 2: 1, 3: 0, 4: 3}",0
596,False,"{'a': 0.002, 'e': 0.3042212640667041}",25,5,-63.46705849405049,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
597,False,"{'a': 0.002, 'e': 0.30361342957567317}",20,2,-34.63480364562206,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
598,False,"{'a': 0.002, 'e': 0.3030068095387654}",30,13,33.02175912703305,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.002, 'e': 0.3024014015294998}",30,2,14.807212236616166,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 0}",1
600,False,"{'a': 0.002, 'e': 0.3017972031262435}",30,16,11.97531512339071,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
601,False,"{'a': 0.002, 'e': 0.30119421191220214}",25,3,18.975261399628867,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
602,False,"{'a': 0.002, 'e': 0.30059242547541}",25,0,-76.05578053173755,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",1
603,False,"{'a': 0.002, 'e': 0.2999918414087205}",20,3,15.407727270118297,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
604,False,"{'a': 0.002, 'e': 0.2993924573097967}",20,2,-29.28414078927717,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
605,False,"{'a': 0.002, 'e': 0.29879427078110127}",30,18,-18.823238759669795,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
606,False,"{'a': 0.002, 'e': 0.2981972794298874}",25,17,5.621415994297356,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
607,False,"{'a': 0.002, 'e': 0.29760148086818883}",20,0,25.64265530683072,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
608,False,"{'a': 0.002, 'e': 0.2970068727128105}",25,14,8.32962136287718,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
609,False,"{'a': 0.002, 'e': 0.2964134525853191}",20,0,0.8787265868312915,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
610,False,"{'a': 0.002, 'e': 0.2958212181120332}",20,0,16.037606150286383,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
611,False,"{'a': 0.002, 'e': 0.2952301669240142}",25,20,9.363297029167219,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.002, 'e': 0.29464029665705654}",25,8,-4.951124955097266,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
613,False,"{'a': 0.002, 'e': 0.29405160495167837}",20,1,-10.915154886630686,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
614,False,"{'a': 0.002, 'e': 0.2934640894531121}",30,16,12.3492115238982,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
615,False,"{'a': 0.002, 'e': 0.2928777478112949}",35,23,23.21853462376673,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.002, 'e': 0.2922925776808594}",25,12,20.56480383086116,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.002, 'e': 0.2917085767211244}",20,8,12.14745644448131,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
618,False,"{'a': 0.002, 'e': 0.2911257425960852}",25,15,-1.456310740337468,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
619,False,"{'a': 0.002, 'e': 0.2905440729744046}",20,0,17.516359946812273,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
620,False,"{'a': 0.002, 'e': 0.2899635655294032}",20,13,5.161080642329058,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.002, 'e': 0.2893842179390506}",20,14,-68.72916778049868,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
622,False,"{'a': 0.002, 'e': 0.28880602788595566}",25,0,-2.8147116423751495,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
623,False,"{'a': 0.002, 'e': 0.2882289930573573}",35,13,15.900340632568605,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
624,False,"{'a': 0.002, 'e': 0.2876531111451154}",20,5,23.346920155548652,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.002, 'e': 0.28707837984570167}",20,0,12.232771413566242,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
